wv [nm], K_sw [m-1], a_w [m-1], b_sw [m-1], e, X_c
400,0.0209,0.0171,0.0076,0.64358,0.11748
410,0.0196,0.0162,0.0068,0.65175,0.12259
420,0.0184,0.0153,0.0061,0.65917,0.12269
430,0.0172,0.0144,0.0055,0.66583,0.11779
440,0.017,0.0145,0.0049,0.67175,0.10963
450,0.0168,0.0145,0.0045,0.67692,0.10165
460,0.0176,0.0156,0.0041,0.68134,0.09393
470,0.0175,0.0156,0.0037,0.68501,0.08649
480,0.0194,0.0176,0.0034,0.68794,0.07932
490,0.0212,0.0196,0.0031,0.68955,0.07242
500,0.0271,0.0257,0.0029,0.68880,0.06579
510,0.037,0.0357,0.0026,0.68567,0.05943
520,0.0489,0.0477,0.0024,0.68015,0.05341
530,0.0519,0.0507,0.0022,0.67224,0.04829
540,0.0568,0.0558,0.0021,0.66195,0.04419
550,0.0648,0.0638,0.0019,0.64927,0.04111
560,0.0717,0.0708,0.0018,0.64000,0.03900
570,0.0807,0.0799,0.0017,0.62300,0.03600
580,0.109,0.108,0.0016,0.61000,0.03300
590,0.158,0.157,0.0015,0.61800,0.03250
600,0.245,0.244,0.0014,0.62600,0.03400
610,0.29,0.289,0.0013,0.63400,0.03600
620,0.31,0.309,0.0012,0.64200,0.03850
630,0.32,0.319,0.0011,0.65300,0.04200
640,0.33,0.329,0.001,0.66300,0.04400
650,0.35,0.349,0.001,0.67200,0.04500
660,0.4,0.4,0.0008,0.68200,0.04750
670,0.43,0.43,0.0008,0.69500,0.05150
680,0.45,0.45,0.0007,0.69300,0.05050
690,0.5,0.5,0.0007,0.64000,0.03900
700,0.65,0.65,0.0007,0.60000,0.03000

