Wavelength	Chla-coeff	Chlb-coeff	Chlc-coeff	PSC-coeff	PPC-coeff
400	0.0128	0.0042	0.0203	0.0059	0.0131
402	0.0129	0.0038	0.0206	0.0061	0.0145
404	0.0132	0.0035	0.0209	0.0065	0.0157
406	0.0139	0.0032	0.0211	0.0067	0.0171
408	0.0148	0.0031	0.0211	0.007	0.0185
410	0.0159	0.0031	0.0212	0.0074	0.0196
412	0.017	0.0032	0.0213	0.0078	0.0209
414	0.018	0.0033	0.0212	0.0082	0.0221
416	0.0188	0.0034	0.0212	0.0087	0.0233
418	0.0193	0.0036	0.0216	0.0092	0.0247
420	0.0195	0.0038	0.022	0.0097	0.0261
422	0.0193	0.004	0.0225	0.0102	0.028
424	0.0191	0.0043	0.0234	0.0108	0.0299
426	0.0189	0.0047	0.0245	0.0113	0.0321
428	0.0191	0.0053	0.0258	0.012	0.0343
430	0.0199	0.0061	0.0271	0.0127	0.0365
432	0.0212	0.0071	0.0289	0.0135	0.0384
434	0.0229	0.0082	0.0306	0.0143	0.0399
436	0.0247	0.0094	0.0326	0.0151	0.0412
438	0.0261	0.0106	0.0348	0.016	0.0422
440	0.0265	0.0118	0.0372	0.0168	0.043
442	0.0255	0.0127	0.04	0.0177	0.0437
444	0.0229	0.0132	0.0434	0.0185	0.0446
446	0.0193	0.0137	0.0476	0.0194	0.0458
448	0.0151	0.0139	0.0521	0.0203	0.0474
450	0.0111	0.0142	0.0572	0.0212	0.0494
452	0.0077	0.0147	0.0618	0.0223	0.0517
454	0.0052	0.0155	0.0656	0.0233	0.0542
456	0.0034	0.017	0.0686	0.0243	0.0564
458	0.0022	0.0192	0.0702	0.0253	0.0583
460	0.0015	0.022	0.0708	0.0263	0.0596
462	0.001	0.0252	0.0703	0.0272	0.0603
464	0.0007	0.0286	0.0689	0.028	0.0602
466	0.0006	0.0316	0.0665	0.0288	0.0593
468	0.0005	0.0337	0.0629	0.0296	0.0579
470	0.0004	0.0347	0.0584	0.0304	0.056
472	0.0004	0.0343	0.0527	0.031	0.0541
474	0.0003	0.0327	0.0461	0.0319	0.0524
476	0.0003	0.03	0.0395	0.0327	0.051
478	0.0003	0.0269	0.0326	0.0336	0.0503
480	0.0003	0.0233	0.0258	0.0345	0.0503
482	0.0003	0.0198	0.0204	0.0353	0.0506
484	0.0003	0.0163	0.0156	0.036	0.0515
486	0.0003	0.0133	0.0119	0.0364	0.0524
488	0.0003	0.0107	0.0088	0.0367	0.0529
490	0.0003	0.0084	0.0068	0.0368	0.0532
492	0.0003	0.0066	0.0053	0.0367	0.0526
494	0.0004	0.0052	0.0042	0.0365	0.051
496	0.0004	0.004	0.0035	0.0361	0.0488
498	0.0004	0.0031	0.0031	0.0358	0.0457
500	0.0004	0.0025	0.0027	0.0354	0.042
502	0.0005	0.002	0.0022	0.0351	0.0378
504	0.0005	0.0017	0.0023	0.0349	0.0334
506	0.0005	0.0014	0.0021	0.0348	0.0288
508	0.0005	0.0012	0.0021	0.0346	0.0245
510	0.0005	0.0011	0.0019	0.0344	0.0205
512	0.0005	0.001	0.0018	0.0342	0.0168
514	0.0005	0.0009	0.0018	0.0337	0.0138
516	0.0005	0.0009	0.0018	0.033	0.011
518	0.0005	0.0009	0.0017	0.0321	0.0087
520	0.0005	0.0009	0.0016	0.031	0.0069
522	0.0005	0.0008	0.0015	0.0297	0.0054
524	0.0006	0.0008	0.0015	0.0283	0.0043
526	0.0006	0.0008	0.0015	0.0268	0.0033
528	0.0007	0.0008	0.0016	0.0253	0.0027
530	0.0007	0.0009	0.0016	0.0237	0.0022
532	0.0008	0.0009	0.0017	0.0222	0.0016
534	0.0008	0.0009	0.0017	0.0206	0.0013
536	0.0009	0.001	0.0018	0.0191	0.001
538	0.0009	0.001	0.0017	0.0177	0.0007
540	0.0009	0.0011	0.0019	0.0163	0.0007
542	0.0009	0.0011	0.0021	0.015	0.0006
544	0.0009	0.0012	0.0021	0.0137	0.0003
546	0.0009	0.0013	0.0024	0.0125	0.0003
548	0.0009	0.0013	0.0024	0.0114	0.0002
550	0.0009	0.0014	0.0025	0.0104	0.0001
552	0.0009	0.0014	0.0027	0.0094	0.0001
554	0.0009	0.0015	0.0027	0.0084	0
556	0.0009	0.0016	0.0028	0.0076	0
558	0.0009	0.0016	0.0029	0.0069	0
560	0.0009	0.0016	0.0031	0.0061	0
562	0.0009	0.0016	0.0033	0.0055	0
564	0.0009	0.0017	0.0035	0.0048	0
566	0.0009	0.0017	0.0037	0.0043	0
568	0.001	0.0017	0.0039	0.0039	0
570	0.0011	0.0018	0.0041	0.0034	0
572	0.0012	0.0018	0.0043	0.0031	0
